xs ys xt yt xl yl xa ya
0.000004 0.000003 -0.275814 0.984149 -0.274173 0.980615 100.838806 0.095788
0.000004 0.000003 -0.281812 0.982560 -0.280011 0.979098 101.176102 0.095788
0.000004 0.000003 -0.287799 0.980935 -0.285843 0.977551 101.513397 0.095787
0.000004 0.000003 -0.293776 0.979273 -0.291668 0.975974 101.850693 0.095786
0.000004 0.000003 -0.299742 0.977575 -0.297486 0.974368 102.187988 0.095785
0.000004 0.000003 -0.305697 0.975841 -0.303298 0.972731 102.525284 0.095785
0.000004 0.000003 -0.311641 0.974071 -0.309103 0.971065 102.862579 0.095784
0.000004 0.000003 -0.317574 0.972265 -0.314901 0.969368 103.199875 0.095783
0.000004 0.000003 -0.323494 0.970423 -0.320693 0.967640 103.537170 0.095783
0.000004 0.000003 -0.329403 0.968545 -0.326479 0.965882 103.874466 0.095782
0.000004 0.000003 -0.335299 0.966632 -0.332257 0.964093 104.211761 0.095781
0.000004 0.000003 -0.341183 0.964683 -0.338030 0.962273 104.549057 0.095780
0.000004 0.000003 -0.347055 0.962698 -0.343795 0.960422 104.886353 0.095780
0.000004 0.000003 -0.352913 0.960678 -0.349554 0.958540 105.223648 0.095779
0.000004 0.000003 -0.358759 0.958622 -0.355306 0.956626 105.560944 0.095778
0.000004 0.000003 -0.364591 0.956531 -0.361052 0.954680 105.898239 0.095778
0.000004 0.000003 -0.370410 0.954405 -0.366791 0.952702 106.235535 0.095777
0.000004 0.000003 -0.376216 0.952244 -0.372523 0.950693 106.572830 0.095776
0.000004 0.000003 -0.382007 0.950048 -0.378248 0.948651 106.910126 0.095775
0.000004 0.000003 -0.387785 0.947817 -0.383966 0.946576 107.247421 0.095775
0.000004 0.000003 -0.393548 0.945551 -0.389676 0.944469 107.584717 0.095774
0.000004 0.000003 -0.399296 0.943250 -0.395380 0.942329 107.922012 0.095773
0.000004 0.000003 -0.405030 0.940915 -0.401075 0.940156 108.259308 0.095773
0.000004 0.000003 -0.410749 0.938545 -0.406764 0.937949 108.596603 0.095772
0.000004 0.000003 -0.416453 0.936140 -0.412444 0.935709 108.933899 0.095771
0.000004 0.000003 -0.422142 0.933702 -0.418117 0.933435 109.271194 0.095770
0.000004 0.000003 -0.427815 0.931229 -0.423781 0.931128 109.608490 0.095770
0.000004 0.000003 -0.433472 0.928722 -0.429437 0.928786 109.945786 0.095769
0.000004 0.000003 -0.439113 0.926181 -0.435085 0.926410 110.283081 0.095768
0.000004 0.000003 -0.444739 0.923606 -0.440724 0.924000 110.620377 0.095768
0.000004 0.000003 -0.450348 0.920997 -0.446354 0.921555 110.957672 0.095767
0.000004 0.000003 -0.455940 0.918354 -0.451975 0.919075 111.294968 0.095766
0.000004 0.000004 -0.461516 0.915678 -0.457586 0.916560 111.632263 0.095765
0.000004 0.000004 -0.467074 0.912969 -0.463188 0.914010 111.969559 0.095765
0.000004 0.000004 -0.472616 0.910226 -0.468780 0.911425 112.306854 0.095764
0.000004 0.000004 -0.478140 0.907450 -0.474362 0.908804 112.644150 0.095763
0.000005 0.000004 -0.483647 0.904640 -0.479934 0.906148 112.981445 0.095763
0.000005 0.000004 -0.489136 0.901798 -0.485495 0.903455 113.318741 0.095762
0.000005 0.000004 -0.494607 0.898923 -0.491044 0.900727 113.656036 0.095761
0.000005 0.000004 -0.500060 0.896015 -0.496583 0.897962 113.993332 0.095760
0.000005 0.000004 -0.505495 0.893074 -0.502110 0.895161 114.330627 0.095760
0.000005 0.000004 -0.510911 0.890101 -0.507625 0.892323 114.667923 0.095759
0.000005 0.000004 -0.516309 0.887095 -0.513128 0.889449 115.005219 0.095758
0.000005 0.000004 -0.521688 0.884057 -0.518619 0.886538 115.342514 0.095758
0.000005 0.000004 -0.527047 0.880987 -0.524096 0.883590 115.679810 0.095757
0.000005 0.000004 -0.532388 0.877885 -0.529561 0.880604 116.017105 0.095756
0.000005 0.000004 -0.537709 0.874751 -0.535011 0.877582 116.354401 0.095755
